IndicatorType,IndicatorValue,ExpirationTime,Action,Severity,Title,Description,RecommendedActions,RbacGroups,Category,MitreTechniques,GenerateAlert
DomainName,adventureai.gg,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,ai2006.io,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,ai21.com,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,aibuddy.chat,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,aidungeon.io,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,aigcdeep.com,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,ai-ghostwriter.com,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,aiisajoke.com,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,ailessonplan.com,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,aipoemgenerator.org,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,aireception.io,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,ai-writer.com,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,aiwritingpal.com,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,allenai.org,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,analogenie.com,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,anythingllm.com,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,anyword.com,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,app.aleph-alpha.com,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,app.getmerlin.in,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,app.iokoo.co,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,app.longshot.ai,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,app.neuro-flash.com,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,applaime.com,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,archie.8base.com,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,articlefiesta.com,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,articleforge.com,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,askbrian.ai,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,askjack.io,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,asksocrates.app,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,aws.amazon.com/bedrock/titan,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,aws.amazon.com/q,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,azure.microsoft.com/en-us/products/ai-services/openai-service,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,bard.google.com,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,bearly.ai,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,beatoven.ai,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,beautiful.ai,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,beewriter.com,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,bettersynonyms.com,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,bing.com/chat,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,bomml.ai,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,bots.miku.gg,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,botstar.com,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,browsegpt.ai,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,bulkgpt.ai,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,buster.ai,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,censusgpt.com,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,chai-research.com,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,character.ai,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,charley.ai,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,charshift.com,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,chat.lmsys.org,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,chat.mymap.ai,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,chat.nbox.ai,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,chatbase.co,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,chatbit.co,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,chatbotgen.com,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,chatgate.ai,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,chatgpt.com,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,chatgptdemo.net,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,chatgptduo.com,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,chatgptspanish.org,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,chatpdf.com,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,chatsimple.ai,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,chattab.app,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,claid.ai,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,claralabs.com,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,claude.ai,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,clipdrop.co/stable-diffusion,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,cmdj.app,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,coachvox.ai,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,codesnippets.ai,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,cohere.com,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,cohesive.so,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,compose.ai,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,console.anthropic.com,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,contentbot.ai,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,contentvillain.com,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,conversionblitz.com,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,copilot.microsoft.com,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,copy.ai,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,copymatic.ai,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,copymonkey.ai,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,copysmith.ai,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,copyter.com,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,copytruck.com,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,coursebox.ai,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,coverler.com,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,craftly.ai,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,crammer.app,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,creaitor.ai,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,cronbot.ai,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,dante-ai.com,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,deepai.org,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,deep-image.ai,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,deepreview.eu,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,deepseek.com,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,descrii.tech,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,designs.ai,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,docgpt.ai,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,donakosy.com,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,dreamily.ai,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,echo.win,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,editgpt.app,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,edwardbot.com,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,eilla.ai,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,elai.io,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,elephas.app,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,eleuther.ai,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,essayailab.com,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,essay-builder.ai,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,essaygrader.ai,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,essaypal.ai,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,falconllm.tii.ae,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,fanfuel.app,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,finechat.ai,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,finito.ai,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,fireflies.ai,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,firefly.adobe.com,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,firetexts.co,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,flowgpt.com,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,flowrite.com,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,forethought.ai,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,formwise.ai,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,frase.io,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,freedomgpt.com,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,gajix.com,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,galichat.com,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,gemini.google.com,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,genei.io,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,generatorxyz.com,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,getchunky.io,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,getgptapi.com,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,getliner.com,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,getsmartgpt.com,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,gettrove.co,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,getvoila.ai,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,gista.co,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,github.com/features/copilot,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,giti.ai,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,gizzmo.ai,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,glasp.co,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,gliglish.com,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,godinabox.co,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,gozen.io,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,gpt.h2o.ai,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,gpt3demo.com,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,gpt4all.io,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,gpt6.ai,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,gptassistant.app,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,gptfy.co,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,gptgame.app,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,gptgo.ai,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,gptkit.ai,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
